Empresa;Agência;Modalidade;Estoque;Cliente;Asset;Emissão;Código;Taxa(%);;Custódia;Swap;PU;Qtde;Vlr. Ida;Vlr.Curva;Vlr.Vencto;Vlr.IRF;Vlr.IOF;Vlr.Líquido;Vencto;Índice(%);Código ISIN;Cond. Resgate;Data Liquidez
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000066083 - 1000000;000013242 - AGORA CTVM S A;;02/03/2023;"=""CDB123K6B1U""";0,0000;SOVE;CETIP21;N;1.018,291667;30,00;30.000,00;30.548,75;30.548,75;0,00;0,00;30.548,75;05/03/2024;105,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000066105 - 1000000;000013242 - AGORA CTVM S A;;09/03/2023;"=""CDB123NCMJM""";0,0000;SOVE;CETIP21;N;1.016,179000;20,00;20.000,00;20.323,58;20.323,58;0,00;0,00;20.323,58;10/03/2026;109,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000066135 - 1000000;000013242 - AGORA CTVM S A;;20/03/2023;"=""CDB123QGSI5""";0,0000;SOVE;CETIP21;N;1.012,476000;50,00;50.000,00;50.623,80;50.623,80;0,00;0,00;50.623,80;23/03/2026;111,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000066137 - 1000000;000013242 - AGORA CTVM S A;;20/03/2023;"=""CDB123QGSIE""";0,0000;SOVE;CETIP21;N;1.012,193333;30,00;30.000,00;30.365,80;30.365,80;0,00;0,00;30.365,80;23/09/2024;108,50;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000066035 - 1000000;000013242 - AGORA CTVM S A;;10/02/2023;"=""CDB123E3JRE""";0,0000;SOVE;CETIP21;N;1.025,545200;25,00;25.000,00;25.638,63;25.638,63;0,00;0,00;25.638,63;11/02/2025;108,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000066037 - 1000000;000013242 - AGORA CTVM S A;;13/02/2023;"=""CDB123EIOYA""";0,0000;SOVE;CETIP21;N;1.025,216000;5,00;5.000,00;5.126,08;5.126,08;0,00;0,00;5.126,08;18/02/2026;109,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000066042 - 1000000;000013242 - AGORA CTVM S A;;14/02/2023;"=""CDB123EZFR0""";0,0000;SOVE;CETIP21;N;1.024,192500;28,00;28.000,00;28.677,39;28.677,39;0,00;0,00;28.677,39;15/08/2024;107,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000066051 - 1000000;000013242 - AGORA CTVM S A;;17/02/2023;"=""CDB123GD1WU""";0,0000;SOVE;CETIP21;N;1.022,950000;15,00;15.000,00;15.344,25;15.344,25;0,00;0,00;15.344,25;18/02/2026;109,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065973 - 1000000;000013242 - AGORA CTVM S A;;01/02/2023;"=""CDB123A06JD""";0,0000;SOVE;CETIP21;N;1.029,766000;5,00;5.000,00;5.148,83;5.148,83;0,00;0,00;5.148,83;01/08/2024;109,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000066005 - 1000000;000013242 - AGORA CTVM S A;;06/02/2023;"=""CDB123BVA3G""";0,0000;SOVE;CETIP21;N;1.028,580000;45,00;45.000,00;46.286,10;46.286,10;0,00;0,00;46.286,10;09/02/2026;111,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000066030 - 1000000;000013242 - AGORA CTVM S A;;09/02/2023;"=""CDB123DP6T9""";0,0000;SOVE;CETIP21;N;1.026,597545;110,00;110.000,00;112.925,73;112.925,73;0,00;0,00;112.925,73;11/02/2025;110,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065833 - 1000000;000013242 - AGORA CTVM S A;;04/01/2023;"=""CDB1230YL88""";0,0000;SOVE;CETIP21;N;1.041,228000;10,00;10.000,00;10.412,28;10.412,28;0,00;0,00;10.412,28;04/01/2024;109,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065843 - 1000000;000013242 - AGORA CTVM S A;;06/01/2023;"=""CDB1231XVT2""";0,0000;SOVE;CETIP21;N;1.040,451026;78,00;78.000,00;81.155,18;81.155,18;0,00;0,00;81.155,18;06/01/2025;110,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065863 - 1000000;000013242 - AGORA CTVM S A;;12/01/2023;"=""CDB12342PH0""";0,0000;SOVE;CETIP21;N;1.038,482000;5,00;5.000,00;5.192,41;5.192,41;0,00;0,00;5.192,41;13/01/2026;111,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065697 - 1000000;000013242 - AGORA CTVM S A;;16/12/2022;"=""CDB422Q6LCP""";0,0000;SOVE;CETIP21;N;1.049,662245;49,00;49.000,00;51.433,45;51.433,45;0,00;0,00;51.433,45;18/12/2023;111,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065258 - 1000000;000013242 - AGORA CTVM S A;;20/10/2022;"=""CDB4226QIUT""";0,0000;SOVE;CETIP21;N;1.072,989217;115,00;115.000,00;123.393,76;123.393,76;0,00;0,00;123.393,76;20/10/2023;111,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065303 - 1000000;000013242 - AGORA CTVM S A;;01/11/2022;"=""CDB422A0GQZ""";0,0000;SOVE;CETIP21;N;1.070,067089;79,00;79.000,00;84.535,30;84.535,30;0,00;0,00;84.535,30;01/11/2024;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065201 - 1000000;000013242 - AGORA CTVM S A;;03/10/2022;"=""CDB4220FTC6""";0,0000;SOVE;CETIP21;N;1.081,773966;58,00;58.000,00;62.742,89;62.742,89;0,00;0,00;62.742,89;03/04/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065216 - 1000000;000013242 - AGORA CTVM S A;;05/10/2022;"=""CDB4221R199""";0,0000;SOVE;CETIP21;N;1.079,053600;575,00;575.000,00;620.455,82;620.455,82;0,00;0,00;620.455,82;05/10/2023;111,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065221 - 1000000;000013242 - AGORA CTVM S A;;06/10/2022;"=""CDB4222DL75""";0,0000;SOVE;CETIP21;N;1.078,445522;67,00;67.000,00;72.255,85;72.255,85;0,00;0,00;72.255,85;06/10/2023;111,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065226 - 1000000;000013242 - AGORA CTVM S A;;07/10/2022;"=""CDB4222Y4H4""";0,0000;SOVE;CETIP21;N;1.077,838000;115,00;115.000,00;123.951,37;123.951,37;0,00;0,00;123.951,37;09/10/2023;111,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065253 - 1000000;000013242 - AGORA CTVM S A;;19/10/2022;"=""CDB4226CWID""";0,0000;SOVE;CETIP21;N;1.073,594000;25,00;25.000,00;26.839,85;26.839,85;0,00;0,00;26.839,85;19/10/2023;111,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065150 - 1000000;000013242 - AGORA CTVM S A;;19/09/2022;"=""CDB322POM02""";0,0000;SOVE;CETIP21;N;1.088,810400;25,00;25.000,00;27.220,26;27.220,26;0,00;0,00;27.220,26;19/09/2025;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065169 - 1000000;000013242 - AGORA CTVM S A;;23/09/2022;"=""CDB322RB7N6""";0,0000;SOVE;CETIP21;N;1.086,292444;45,00;45.000,00;48.883,16;48.883,16;0,00;0,00;48.883,16;23/09/2025;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065196 - 1000000;000013242 - AGORA CTVM S A;;30/09/2022;"=""CDB322T7BL9""";0,0000;SOVE;CETIP21;N;1.083,153077;26,00;26.000,00;28.161,98;28.161,98;0,00;0,00;28.161,98;30/09/2024;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065056 - 1000000;000013242 - AGORA CTVM S A;;09/08/2022;"=""CDB322D92SB""";0,0000;SOVE;CETIP21;N;1.103,655333;15,00;15.000,00;16.554,83;16.554,83;0,00;0,00;16.554,83;09/02/2024;111,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065059 - 1000000;000013242 - AGORA CTVM S A;;10/08/2022;"=""CDB322DQ9KH""";0,0000;SOVE;CETIP21;N;1.103,033667;30,00;30.000,00;33.091,01;33.091,01;0,00;0,00;33.091,01;14/02/2024;111,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065061 - 1000000;000013242 - AGORA CTVM S A;;11/08/2022;"=""CDB322E4MBC""";0,0000;SOVE;CETIP21;N;1.104,350000;15,00;15.000,00;16.565,25;16.565,25;0,00;0,00;16.565,25;12/08/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065088 - 1000000;000013242 - AGORA CTVM S A;;19/08/2022;"=""CDB322GG9N0""";0,0000;SOVE;CETIP21;N;1.096,829500;100,00;100.000,00;109.682,95;109.682,95;0,00;0,00;109.682,95;21/08/2023;109,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065118 - 1000000;000013242 - AGORA CTVM S A;;02/09/2022;"=""CDB322KKV54""";0,0000;SOVE;CETIP21;N;1.095,131024;205,00;205.000,00;224.501,86;224.501,86;0,00;0,00;224.501,86;02/09/2025;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065120 - 1000000;000013242 - AGORA CTVM S A;;02/09/2022;"=""CDB322KKV55""";0,0000;SOVE;CETIP21;N;1.092,516000;5,00;5.000,00;5.462,58;5.462,58;0,00;0,00;5.462,58;04/03/2024;111,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065023 - 1000000;000013242 - AGORA CTVM S A;;27/07/2022;"=""CDB3228OPUP""";0,0000;SOVE;CETIP21;N;1.112,246986;73,00;73.000,00;81.194,03;81.194,03;0,00;0,00;81.194,03;28/07/2025;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065024 - 1000000;000013242 - AGORA CTVM S A;;28/07/2022;"=""CDB32291OKI""";0,0000;SOVE;CETIP21;N;1.111,625000;10,00;10.000,00;11.116,25;11.116,25;0,00;0,00;11.116,25;28/07/2025;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064929 - 1000000;000013242 - AGORA CTVM S A;;24/06/2022;"=""CDB222QSX5A""";0,0000;SOVE;CETIP21;N;1.126,636000;5,00;5.000,00;5.633,18;5.633,18;0,00;0,00;5.633,18;24/06/2025;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064954 - 1000000;000013242 - AGORA CTVM S A;;04/07/2022;"=""CDB32214SSD""";0,0000;SOVE;CETIP21;N;1.121,723846;26,00;26.000,00;29.164,82;29.164,82;0,00;0,00;29.164,82;04/07/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064986 - 1000000;000013242 - AGORA CTVM S A;;13/07/2022;"=""CDB3224VNO9""";0,0000;SOVE;CETIP21;N;1.117,382727;110,00;110.000,00;122.912,10;122.912,10;0,00;0,00;122.912,10;15/07/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065013 - 1000000;000013242 - AGORA CTVM S A;;25/07/2022;"=""CDB3227WTRP""";0,0000;SOVE;CETIP21;N;1.113,490800;50,00;50.000,00;55.674,54;55.674,54;0,00;0,00;55.674,54;25/07/2025;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064880 - 1000000;000013242 - AGORA CTVM S A;;06/06/2022;"=""CDB222KKVG9""";0,0000;SOVE;CETIP21;N;1.128,400800;50,00;50.000,00;56.420,04;56.420,04;0,00;0,00;56.420,04;06/06/2023;109,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064924 - 1000000;000013242 - AGORA CTVM S A;;22/06/2022;"=""CDB222Q3A8A""";0,0000;SOVE;CETIP21;N;1.127,896000;40,00;40.000,00;45.115,84;45.115,84;0,00;0,00;45.115,84;23/06/2025;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064927 - 1000000;000013242 - AGORA CTVM S A;;23/06/2022;"=""CDB222QGH3T""";0,0000;SOVE;CETIP21;N;1.121,360000;5,00;5.000,00;5.606,80;5.606,80;0,00;0,00;5.606,80;23/06/2023;109,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064826 - 1000000;000013242 - AGORA CTVM S A;;20/05/2022;"=""CDB222FMWLI""";0,0000;SOVE;CETIP21;N;1.137,449667;60,00;60.000,00;68.246,98;68.246,98;0,00;0,00;68.246,98;20/11/2023;111,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064831 - 1000000;000013242 - AGORA CTVM S A;;23/05/2022;"=""CDB222FZGGB""";0,0000;SOVE;CETIP21;N;1.139,482000;10,00;10.000,00;11.394,82;11.394,82;0,00;0,00;11.394,82;23/05/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064851 - 1000000;000013242 - AGORA CTVM S A;;27/05/2022;"=""CDB222HGMMQ""";0,0000;SOVE;CETIP21;N;1.131,894000;10,00;10.000,00;11.318,94;11.318,94;0,00;0,00;11.318,94;29/05/2023;109,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064853 - 1000000;000013242 - AGORA CTVM S A;;30/05/2022;"=""CDB222HU4SJ""";0,0000;SOVE;CETIP21;N;1.136,442000;5,00;5.000,00;5.682,21;5.682,21;0,00;0,00;5.682,21;31/05/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064742 - 1000000;000013242 - AGORA CTVM S A;;03/05/2022;"=""CDB2229F9B8""";0,0000;SOVE;CETIP21;N;1.147,943429;105,00;105.000,00;120.534,06;120.534,06;0,00;0,00;120.534,06;03/05/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064747 - 1000000;000013242 - AGORA CTVM S A;;04/05/2022;"=""CDB222A2V6U""";0,0000;SOVE;CETIP21;N;1.147,376000;25,00;25.000,00;28.684,40;28.684,40;0,00;0,00;28.684,40;03/05/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064754 - 1000000;000013242 - AGORA CTVM S A;;05/05/2022;"=""CDB222AM24Q""";0,0000;SOVE;CETIP21;N;1.144,033200;50,00;50.000,00;57.201,66;57.201,66;0,00;0,00;57.201,66;03/11/2023;111,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064784 - 1000000;000013242 - AGORA CTVM S A;;11/05/2022;"=""CDB222CVCLX""";0,0000;SOVE;CETIP21;N;1.144,361875;16,00;16.000,00;18.309,79;18.309,79;0,00;0,00;18.309,79;10/05/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064789 - 1000000;000013242 - AGORA CTVM S A;;12/05/2022;"=""CDB222DAJ50""";0,0000;SOVE;CETIP21;N;1.145,110500;20,00;20.000,00;22.902,21;22.902,21;0,00;0,00;22.902,21;13/05/2025;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064816 - 1000000;000013242 - AGORA CTVM S A;;18/05/2022;"=""CDB222EYG2D""";0,0000;SOVE;CETIP21;N;1.141,310000;14,00;14.000,00;15.978,34;15.978,34;0,00;0,00;15.978,34;20/05/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064685 - 1000000;000013242 - AGORA CTVM S A;;14/04/2022;"=""CDB2224R07R""";0,0000;SOVE;CETIP21;N;1.155,665000;10,00;10.000,00;11.556,65;11.556,65;0,00;0,00;11.556,65;15/04/2025;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064710 - 1000000;000013242 - AGORA CTVM S A;;22/04/2022;"=""CDB2226DBML""";0,0000;SOVE;CETIP21;N;1.153,363000;40,00;40.000,00;46.134,52;46.134,52;0,00;0,00;46.134,52;23/04/2025;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064609 - 1000000;000013242 - AGORA CTVM S A;;08/03/2022;"=""CDB122GJQI7""";0,0000;SOVE;CETIP21;N;1.169,371600;50,00;50.000,00;58.468,58;58.468,58;0,00;0,00;58.468,58;07/03/2025;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064614 - 1000000;000013242 - AGORA CTVM S A;;10/03/2022;"=""CDB122HEYAR""";0,0000;SOVE;CETIP21;N;1.168,310667;45,00;45.000,00;52.573,98;52.573,98;0,00;0,00;52.573,98;11/03/2025;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064648 - 1000000;000013242 - AGORA CTVM S A;;01/04/2022;"=""CDB2220EM2K""";0,0000;SOVE;CETIP21;N;1.157,070000;5,00;5.000,00;5.785,35;5.785,35;0,00;0,00;5.785,35;02/04/2024;111,50;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000064653 - 1000000;000013242 - AGORA CTVM S A;;05/04/2022;"=""CDB2221K63P""";0,0000;SOVE;CETIP21;N;1.158,199000;10,00;10.000,00;11.581,99;11.581,99;0,00;0,00;11.581,99;04/04/2025;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065089 - 1000000;000013242 - AGORA CTVM S A;;22/08/2022;"=""CDB322GSIHR""";0,0000;SOVE;CETIP21;N;1.099,923675;302,00;302.000,00;332.176,95;332.176,95;0,00;0,00;332.176,95;22/08/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065094 - 1000000;000013242 - AGORA CTVM S A;;23/08/2022;"=""CDB322H4VJY""";0,0000;SOVE;CETIP21;N;1.099,292679;56,00;56.000,00;61.560,39;61.560,39;0,00;0,00;61.560,39;23/08/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065064 - 1000000;000013242 - AGORA CTVM S A;;12/08/2022;"=""CDB322EJF69""";0,0000;SOVE;CETIP21;N;1.104,680577;52,00;52.000,00;57.443,39;57.443,39;0,00;0,00;57.443,39;12/08/2025;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065972 - 1000000;000013242 - AGORA CTVM S A;;01/02/2023;"=""CDB123A06J7""";0,0000;SOVE;CETIP21;N;1.029,766000;5,00;5.000,00;5.148,83;5.148,83;0,00;0,00;5.148,83;02/08/2024;109,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000066055 - 1000000;000013242 - AGORA CTVM S A;;22/02/2023;"=""CDB123GQTHL""";0,0000;SOVE;CETIP21;N;1.022,384063;32,00;32.000,00;32.716,29;32.716,29;0,00;0,00;32.716,29;24/02/2026;109,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065906 - 1000000;000013242 - AGORA CTVM S A;;20/01/2023;"=""CDB1236KZZL""";0,0000;SOVE;CETIP21;N;1.033,855600;100,00;100.000,00;103.385,56;103.385,56;0,00;0,00;103.385,56;22/01/2024;107,50;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065800 - 1000000;000013242 - AGORA CTVM S A;;29/12/2022;"=""CDB422UUWIM""";0,0000;SOVE;CETIP21;N;1.045,168000;20,00;20.000,00;20.903,36;20.903,36;0,00;0,00;20.903,36;30/12/2025;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065837 - 1000000;000013242 - AGORA CTVM S A;;05/01/2023;"=""CDB1231F36K""";0,0000;SOVE;CETIP21;N;1.040,081600;125,00;125.000,00;130.010,20;130.010,20;0,00;0,00;130.010,20;05/01/2024;107,50;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065844 - 1000000;000013242 - AGORA CTVM S A;;06/01/2023;"=""CDB1231XVT5""";0,0000;SOVE;CETIP21;N;1.039,514000;5,00;5.000,00;5.197,57;5.197,57;0,00;0,00;5.197,57;08/01/2024;107,50;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065864 - 1000000;000013242 - AGORA CTVM S A;;12/01/2023;"=""CDB12342PGY""";0,0000;SOVE;CETIP21;N;1.038,129200;25,00;25.000,00;25.953,23;25.953,23;0,00;0,00;25.953,23;14/01/2025;110,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065708 - 1000000;000013242 - AGORA CTVM S A;;19/12/2022;"=""CDB422QO691""";0,0000;SOVE;CETIP21;N;1.049,523333;15,00;15.000,00;15.742,85;15.742,85;0,00;0,00;15.742,85;20/06/2024;112,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065738 - 1000000;000013242 - AGORA CTVM S A;;22/12/2022;"=""CDB422SGNPE""";0,0000;SOVE;CETIP21;N;1.047,516522;46,00;46.000,00;48.185,76;48.185,76;0,00;0,00;48.185,76;24/12/2024;111,50;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065424 - 1000000;000013242 - AGORA CTVM S A;;24/11/2022;"=""CDB422HO47U""";0,0000;SOVE;CETIP21;N;1.061,366174;149,00;149.000,00;158.143,56;158.143,56;0,00;0,00;158.143,56;24/11/2023;115,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065434 - 1000000;000013242 - AGORA CTVM S A;;25/11/2022;"=""CDB422I0GVN""";0,0000;SOVE;CETIP21;N;1.060,746636;220,00;220.000,00;233.364,26;233.364,26;0,00;0,00;233.364,26;27/11/2023;115,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065466 - 1000000;000013242 - AGORA CTVM S A;;30/11/2022;"=""CDB422JCIOR""";0,0000;SOVE;CETIP21;N;1.059,944000;5,00;5.000,00;5.299,72;5.299,72;0,00;0,00;5.299,72;02/12/2024;117,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065301 - 1000000;000013242 - AGORA CTVM S A;;31/10/2022;"=""CDB4229GC71""";0,0000;SOVE;CETIP21;N;1.068,764444;45,00;45.000,00;48.094,40;48.094,40;0,00;0,00;48.094,40;31/10/2023;111,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065328 - 1000000;000013242 - AGORA CTVM S A;;08/11/2022;"=""CDB422CKFJG""";0,0000;SOVE;CETIP21;N;1.067,592560;250,00;250.000,00;266.898,14;266.898,14;0,00;0,00;266.898,14;08/11/2024;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065353 - 1000000;000013242 - AGORA CTVM S A;;14/11/2022;"=""CDB422EJ5TN""";0,0000;SOVE;CETIP21;N;1.064,534000;10,00;10.000,00;10.645,34;10.645,34;0,00;0,00;10.645,34;14/05/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065244 - 1000000;000013242 - AGORA CTVM S A;;17/10/2022;"=""CDB4225ERYP""";0,0000;SOVE;CETIP21;N;1.076,901892;37,00;37.000,00;39.845,37;39.845,37;0,00;0,00;39.845,37;17/10/2024;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065249 - 1000000;000013242 - AGORA CTVM S A;;18/10/2022;"=""CDB4225XEGX""";0,0000;SOVE;CETIP21;N;1.075,584000;5,00;5.000,00;5.377,92;5.377,92;0,00;0,00;5.377,92;18/04/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065259 - 1000000;000013242 - AGORA CTVM S A;;20/10/2022;"=""CDB4226QIUV""";0,0000;SOVE;CETIP21;N;1.074,351364;22,00;22.000,00;23.635,73;23.635,73;0,00;0,00;23.635,73;22/04/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065289 - 1000000;000013242 - AGORA CTVM S A;;27/10/2022;"=""CDB4228O5K0""";0,0000;SOVE;CETIP21;N;1.071,926750;40,00;40.000,00;42.877,07;42.877,07;0,00;0,00;42.877,07;28/10/2024;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065296 - 1000000;000013242 - AGORA CTVM S A;;28/10/2022;"=""CDB42290Z3D""";0,0000;SOVE;CETIP21;N;1.064,854947;190,00;190.000,00;202.322,44;202.322,44;0,00;0,00;202.322,44;28/04/2023;104,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065151 - 1000000;000013242 - AGORA CTVM S A;;19/09/2022;"=""CDB322POM05""";0,0000;SOVE;CETIP21;N;1.087,998000;15,00;15.000,00;16.319,97;16.319,97;0,00;0,00;16.319,97;19/09/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065195 - 1000000;000013242 - AGORA CTVM S A;;30/09/2022;"=""CDB322T7BLB""";0,0000;SOVE;CETIP21;N;1.083,152000;5,00;5.000,00;5.415,76;5.415,76;0,00;0,00;5.415,76;30/09/2025;114,00;"=""""";N;
