Empresa;Agência;Modalidade;Estoque;Cliente;Asset;Emissão;Código;Taxa(%);;Custódia;Swap;PU;Qtde;Vlr. Ida;Vlr.Curva;Vlr.Vencto;Vlr.IRF;Vlr.IOF;Vlr.Líquido;Vencto;Índice(%);Código ISIN;Cond. Resgate;Data Liquidez
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065742 - 1000000;000013242 - AGORA CTVM S A;;22/12/2022;"=""CDB422SGNPF""";0,0000;SOVE;CETIP21;N;1.046,427222;162,00;162.000,00;169.521,21;169.521,21;0,00;0,00;169.521,21;26/12/2023;109,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065774 - 1000000;000013242 - AGORA CTVM S A;;27/12/2022;"=""CDB422TZRN2""";0,0000;SOVE;CETIP21;N;1.045,738000;5,00;5.000,00;5.228,69;5.228,69;0,00;0,00;5.228,69;30/12/2024;111,50;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065365 - 1000000;000013242 - AGORA CTVM S A;;16/11/2022;"=""CDB422F0D9F""";0,0000;SOVE;CETIP21;N;1.063,923900;100,00;100.000,00;106.392,39;106.392,39;0,00;0,00;106.392,39;16/05/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065404 - 1000000;000013242 - AGORA CTVM S A;;21/11/2022;"=""CDB422GCI5X""";0,0000;SOVE;CETIP21;N;1.063,226947;131,00;131.000,00;139.282,73;139.282,73;0,00;0,00;139.282,73;21/11/2023;115,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065409 - 1000000;000013242 - AGORA CTVM S A;;22/11/2022;"=""CDB422GU748""";0,0000;SOVE;CETIP21;N;1.057,569768;345,00;345.000,00;364.861,57;364.861,57;0,00;0,00;364.861,57;22/05/2023;106,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065414 - 1000000;000013242 - AGORA CTVM S A;;23/11/2022;"=""CDB422HC19V""";0,0000;SOVE;CETIP21;N;1.061,986084;452,00;452.000,00;480.017,71;480.017,71;0,00;0,00;480.017,71;23/11/2023;115,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065451 - 1000000;000013242 - AGORA CTVM S A;;29/11/2022;"=""CDB422IU4E8""";0,0000;SOVE;CETIP21;N;1.059,508619;210,00;210.000,00;222.496,81;222.496,81;0,00;0,00;222.496,81;29/11/2023;115,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065256 - 1000000;000013242 - AGORA CTVM S A;;19/10/2022;"=""CDB4226CWIG""";0,0000;SOVE;CETIP21;N;1.074,968000;5,00;5.000,00;5.374,84;5.374,84;0,00;0,00;5.374,84;19/04/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065261 - 1000000;000013242 - AGORA CTVM S A;;20/10/2022;"=""CDB4226QIUR""";0,0000;SOVE;CETIP21;N;1.075,033429;35,00;35.000,00;37.626,17;37.626,17;0,00;0,00;37.626,17;21/10/2024;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065268 - 1000000;000013242 - AGORA CTVM S A;;24/10/2022;"=""CDB4227GMAT""";0,0000;SOVE;CETIP21;N;1.073,789857;70,00;70.000,00;75.165,29;75.165,29;0,00;0,00;75.165,29;24/10/2024;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065311 - 1000000;000013242 - AGORA CTVM S A;;03/11/2022;"=""CDB422AJXT5""";0,0000;SOVE;CETIP21;N;1.068,818000;20,00;20.000,00;21.376,36;21.376,36;0,00;0,00;21.376,36;03/05/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065224 - 1000000;000013242 - AGORA CTVM S A;;07/10/2022;"=""CDB4222Y4H2""";0,0000;SOVE;CETIP21;N;1.080,023139;360,00;360.000,00;388.808,33;388.808,33;0,00;0,00;388.808,33;07/10/2024;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065229 - 1000000;000013242 - AGORA CTVM S A;;10/10/2022;"=""CDB4223IJ1G""";0,0000;SOVE;CETIP21;N;1.078,675000;10,00;10.000,00;10.786,75;10.786,75;0,00;0,00;10.786,75;10/04/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065234 - 1000000;000013242 - AGORA CTVM S A;;11/10/2022;"=""CDB42241YS1""";0,0000;SOVE;CETIP21;N;1.078,056286;35,00;35.000,00;37.731,97;37.731,97;0,00;0,00;37.731,97;11/04/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065239 - 1000000;000013242 - AGORA CTVM S A;;13/10/2022;"=""CDB4224J6JU""";0,0000;SOVE;CETIP21;N;1.078,149286;98,00;98.000,00;105.658,63;105.658,63;0,00;0,00;105.658,63;14/10/2024;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065175 - 1000000;000013242 - AGORA CTVM S A;;26/09/2022;"=""CDB322RNDZD""";0,0000;SOVE;CETIP21;N;1.085,663939;33,00;33.000,00;35.826,91;35.826,91;0,00;0,00;35.826,91;26/09/2024;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065202 - 1000000;000013242 - AGORA CTVM S A;;03/10/2022;"=""CDB4220FTC1""";0,0000;SOVE;CETIP21;N;1.080,270574;366,00;366.000,00;395.379,03;395.379,03;0,00;0,00;395.379,03;03/10/2023;111,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065228 - 1000000;000013242 - AGORA CTVM S A;;10/10/2022;"=""CDB4223IJ1H""";0,0000;SOVE;CETIP21;N;1.079,397857;28,00;28.000,00;30.223,14;30.223,14;0,00;0,00;30.223,14;10/10/2024;114,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065236 - 1000000;000013242 - AGORA CTVM S A;;13/10/2022;"=""CDB4224J6JT""";0,0000;SOVE;CETIP21;N;1.077,438165;158,00;158.000,00;170.235,23;170.235,23;0,00;0,00;170.235,23;15/04/2024;113,00;"=""""";N;
001 - BANCO FATOR S/A;00027 - AGENCIA SAO PAULO;CDB DI;1000000000000065241 - 1000000;000013242 - AGORA CTVM S A;;14/10/2022;"=""CDB4224ZWC5""";0,0000;SOVE;CETIP21;N;1.076,820110;91,00;91.000,00;97.990,63;97.990,63;0,00;0,00;97.990,63;15/04/2024;113,00;"=""""";N;
